Alabama,0.620778047841,0.0,0.379221952159
Arkansas,0.671221126156,0.0,0.328778873844
California,0.483805723096,0.18778286699,0.328411409913
Connecticut,0.435670803819,0.531775572956,0.0325536232245
Delaware,0.548632531359,0.0212488861471,0.430118582494
Florida,0.568135108569,0.0,0.431864891431
Georgia,0.571409816199,0.0,0.428590183801
Illinois,0.440923562887,0.40226211069,0.156814326422
Indiana,0.504054266431,0.400860549375,0.0950851841941
Iowa,0.406976492254,0.488278626368,0.104744881378
Kentucky,0.525433273733,0.0,0.474566726267
Louisiana,0.516968721573,0.0,0.483031278427
Maine,0.356827029146,0.613361412721,0.0298115581325
Maryland,0.450414460051,0.0032811420677,0.546304397882
Massachusetts,0.230781896876,0.63612627023,0.133091832894
Michigan,0.415248365336,0.571530969011,0.0132206656526
Mississippi,0.5944305665,0.0,0.4055694335
Missouri,0.544334466503,0.0,0.455665533497
New Hampshire,0.457061369565,0.537062516123,0.00587611431192
New Jersey,0.472282586824,0.285102016178,0.242615396998
New York,0.328386584094,0.462716643811,0.208896772095
North Carolina,0.56781187105,0.0,0.43218812895
Ohio,0.442109511846,0.485118901311,0.0727715868428
Pennsylvania,0.501315843802,0.320074930296,0.178609225901
Rhode Island,0.336999293714,0.578498637877,0.0845020684088
Tennessee,0.521806830262,0.0,0.478193169738
Texas,0.665890446078,0.0,0.334109553922
Vermont,0.208422006779,0.779557815086,0.0120201781351
Virginia,0.59966183607,0.0,0.40033816393
Wisconsin,0.442156436174,0.552998862039,0.00484470178727
U. S. Total,0.45294148862,0.33089800215,0.21616050923
Alabama,0.151106278156,0.0,0.848893721844
Arkansas,0.0989252474516,0.0,0.901074752548
California,0.317115508191,0.323241005783,0.359643486026
Connecticut,0.215047371354,0.538559663137,0.246392965509
Delaware,0.0661495501086,0.237170338194,0.696680111697
Florida,0.0167656567175,0.0,0.983234343282
Georgia,0.10852066681,0.0,0.89147933319
Illinois,0.471683948349,0.506883232352,0.021432819299
Indiana,0.424442296881,0.510882146519,0.0646755566008
Iowa,0.432184497316,0.546081606972,0.0217338957115
Kentucky,0.175432237238,0.00932866444165,0.81523909832
Louisiana,0.1509602059,0.0,0.8490397941
Maine,0.294228977982,0.622396401038,0.0833746209794
Maryland,0.0644959027913,0.0247994637954,0.910704633413
Massachusetts,0.202324048129,0.628011019803,0.169664932068
Michigan,0.419860367909,0.572310399938,0.00782923215291
Minnesota,0.342656739587,0.634403656538,0.022939603875
Mississippi,0.0474998190897,0.0,0.95250018091
Missouri,0.355157855318,0.102849066518,0.541993078164
New Hampshire,0.392566307265,0.568961072441,0.0384726202933
New Jersey,0.0,0.481343068102,0.518656931898
New York,0.0,0.537129196808,0.462870803192
North Carolina,0.0283005211349,0.0,0.971699478865
Ohio,0.432980950049,0.512424283028,0.0545947669234
Oregon,0.279859088138,0.362035092473,0.358105819389
Pennsylvania,0.035187913744,0.562565852717,0.402246233539
Rhode Island,0.386296426244,0.613703573756,0.0
Tennessee,0.0772110659384,0.0,0.922788934062
Texas,0.000285696146276,0.0,0.999714303854
Vermont,0.194071713863,0.758605214738,0.0473230713997
Virginia,0.0970573607924,0.0113067810727,0.891635858135
Wisconsin,0.427266574232,0.565866512462,0.00686691330604
U. S. Total,0.21502050163,0.396466606214,0.388512892156
California,0.413986212107,0.586013787893,0.0
Connecticut,0.486269233423,0.513730766577,0.0
Delaware,0.518082968916,0.481917031084,0.0
Illinois,0.455794346363,0.544205653637,0.0
Indiana,0.464912875691,0.535087124309,0.0
Iowa,0.369237365266,0.630762634734,0.0
Kansas,0.177757182576,0.791890639481,0.0303521779425
Kentucky,0.698256015985,0.301743984015,0.0
Maine,0.409348676359,0.590651323641,0.0
Maryland,0.449143938978,0.550856061022,0.0
Massachusetts,0.277769863295,0.722230136705,0.0
Michigan,0.448611136321,0.551388863679,0.0
Minnesota,0.409743674393,0.590256325607,0.0
Missouri,0.302800299005,0.697199700995,0.0
Nevada,0.401583434836,0.598416565164,0.0
New Hampshire,0.474421944564,0.525578055436,0.0
New Jersey,0.528335301063,0.471664698937,0.0
New York,0.495381958367,0.504618041633,0.0
Ohio,0.436275019468,0.563724980532,0.0
Oregon,0.460997547016,0.539002452984,0.0
Pennsylvania,0.483573426756,0.516426573244,0.0
Rhode Island,0.377942515282,0.622057484718,0.0
Vermont,0.238941704036,0.760878923767,0.000179372197309
West Virginia,0.317630530149,0.682369469851,0.0
Wisconsin,0.441161896854,0.558838103146,0.0
U. S. Total,0.449617511602,0.550210856604,0.000171631794244
Alabama,0.487459390082,0.512500501357,4.01085605038e-05
Arkansas,0.463170672493,0.536829327507,0.0
California,0.49760712708,0.50239287292,0.0
Connecticut,0.485075837456,0.514924162544,0.0
Delaware,0.590005923214,0.409994076786,0.0
Georgia,0.642657806477,0.357342193523,0.0
Illinois,0.443051043567,0.556948956433,0.0
Indiana,0.48606825565,0.51393174435,0.0
Iowa,0.380787804916,0.619212195084,0.0
Kansas,0.311712124685,0.688219115288,6.8760027504e-05
Kentucky,0.745482615548,0.254517384452,0.0
Louisiana,0.706902932469,0.293097067531,0.0
Maine,0.375878614047,0.624121385953,0.0
Maryland,0.671986637211,0.328013362789,0.0
Massachusetts,0.302304765022,0.697562248092,0.000132986885447
Michigan,0.430192358833,0.569807641167,0.0
Minnesota,0.39121111699,0.60878888301,0.0
Missouri,0.430381407062,0.569618592938,0.0
Nebraska,0.360931266758,0.639068733242,0.0
Nevada,0.446059155411,0.553940844589,0.0
New Hampshire,0.447631178262,0.552207776997,0.000161044741157
